Local Area Unemployment Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years:,1976 to 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series ID,"Annual
1976","Annual
1977","Annual
1978","Annual
1979","Annual
1980","Annual
1981","Annual
1982","Annual
1983","Annual
1984","Annual
1985","Annual
1986","Annual
1987","Annual
1988","Annual
1989","Annual
1990","Annual
1991","Annual
1992","Annual
1993","Annual
1994","Annual
1995","Annual
1996","Annual
1997","Annual
1998","Annual
1999","Annual
2000","Annual
2001","Annual
2002","Annual
2003","Annual
2004","Annual
2005","Annual
2006","Annual
2007","Annual
2008","Annual
2009","Annual
2010","Annual
2011","Annual
2012"
LAUST17000003,6.6,6.2,6,5.5,8.2,8.6,11.3,11.7,9.1,9.1,8.3,7.4,6.8,6.1,6.3,7.3,7.8,7.4,5.8,5.2,5.3,4.8,4.5,4.5,4.5,5.4,6.5,6.7,6.2,5.8,4.6,5.1,6.4,10,10.5,9.8,8.4
LAUST17000004,336787,326703,326800,303695,452225,478709,633017,653218,510103,513991,470110,427627,396588,364988,371071,429855,471427,448531,354614,321097,331750,302478,283615,286336,290855,350975,417693,426443,396893,370877,301473,338209,424629,661259,691911,640350,558567
LAUST17000005,4802933,4949882,5099452,5171268,5082271,5114649,4964767,4938769,5108266,5148973,5223212,5337602,5461544,5644792,5560548,5493554,5546722,5625103,5766671,5857677,5907278,5988296,6047050,6143130,6176837,6113536,5969393,5916830,5968561,6033421,6225095,6322029,6242636,5927434,5910743,5925154,6116820
LAUST17000006,5139720,5276585,5426252,5474963,5534496,5593358,5597784,5591987,5618369,5662964,5693322,5765229,5858132,6009780,5931619,5923409,6018149,6073634,6121285,6178774,6239028,6290774,6330665,6429466,6467692,6464511,6387086,6343273,6365454,6404298,6526568,6660238,6667265,6588693,6602654,6565504,6675387
LASST18000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
LASST18000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251852
LASST18000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2898136
LASST18000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3149988
LAUST18000003,6.1,5.8,5.6,6.4,9.6,9.7,11.9,11.1,8.4,7.7,6.8,6.1,5.1,4.7,5,5.6,6.1,5,4.5,4.3,3.9,3.3,2.9,2.9,2.9,4.2,5.2,5.3,5.3,5.4,5,4.6,5.8,10.4,10.1,9,7.4
LAUST18000004,147920,143516,143838,169797,252875,253117,309207,285545,220949,206233,183774,166538,144079,134194,141693,158291,174369,147592,138099,134846,120240,103436,91065,89659,91660,131150,163253,168131,167500,172052,161426,148831,189781,332851,320240,287176,234740
LAUST18000005,2284619,2351509,2447771,2475512,2373809,2365780,2288118,2297209,2408856,2473721,2535002,2583196,2655524,2719282,2688858,2657957,2703403,2800739,2911781,2977440,2982750,3014499,3033444,3046922,3052719,3020985,3002515,2997847,2997800,3032108,3080047,3081532,3057489,2874194,2856417,2901084,2938539
LAUST18000006,2432539,2495025,2591609,2645309,2626684,2618897,2597325,2582754,2629805,2679954,2718776,2749734,2799603,2853476,2830551,2816248,2877772,2948331,3049880,3112286,3102990,3117935,3124509,3136581,3144379,3152135,3165768,3165978,3165300,3204160,3241473,3230363,3247270,3207045,3176657,3188260,3173279
LASST19000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
LASST19000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83836
LASST19000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555836
LASST19000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639672
LAUST19000003,4.1,3.9,3.9,4.4,5.7,7,8.1,8.3,7.3,7.9,6.8,5.8,4.7,4.3,4.5,4.6,4.5,4.2,3.8,3.6,3.6,3.2,2.9,2.6,2.8,3.3,3.9,4.4,4.6,4.3,3.7,3.8,4,6.2,6.3,5.9,4.6
LAUST19000004,54498,54557,55249,62553,80989,99265,115129,118401,102987,113592,98360,83885,69950,64806,65556,67650,67732,64855,58871,57315,58070,50666,46386,41786,44839,53374,64272,70900,74747,69972,61786,62786,67315,104015,104823,97969,75875
LAUST19000005,1284185,1327851,1359510,1365873,1350142,1326714,1299681,1301402,1313734,1315518,1345904,1374350,1417443,1433321,1393302,1408730,1441414,1480417,1510253,1527972,1551200,1555837,1556479,1560848,1557081,1568638,1567836,1537341,1534991,1557545,1595136,1603626,1607027,1570278,1565018,1565623,1578749
LAUST19000006,1338683,1382408,1414759,1428426,1431131,1425979,1414810,1419803,1416721,1429110,1444264,1458235,1487393,1498127,1458858,1476380,1509146,1545272,1569124,1585287,1609270,1606503,1602865,1602634,1601920,1622012,1632108,1608241,1609738,1627517,1656922,1666412,1674342,1674293,1669841,1663592,1654624
LASST20000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
LASST20000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84572
